,Pud Thai Vs Pho,Hungry Jack s,The Comics Lounge,Fat Face Food,Saddles@HQ,McDonalds,Eat & Grab,Coffee Hq,Australian Education Academy Cafe ,Subway Vic Harbour
The Coffee Cup,0.013035505723540683,0.015821352216805345,0.01403709988586427,0.020442401631620703,0.052818837394474454,0.011607672272148949,0.019243986580412643,0.005342202808168985,0.03368217572287477,0.019194771993833203
Cafe Max,0.012897426636850918,0.015474841939997474,0.014358537334290053,0.0207346526574226,0.053127448680096556,0.011446096123938758,0.01902993461463422,0.005431416680719824,0.03401075647645011,0.01923115701890317
Saquella Caffe,0.012833325447844695,0.015317341844961805,0.014501952700667788,0.02086432948903901,0.05326433975832251,0.011380681890077488,0.018938855275627543,0.005483671811721047,0.034157184005616556,0.019244825257857815
Ciao Pizza Napoli,0.012620144800782628,0.015307893574856278,0.014336566818403892,0.020668961674779666,0.05308219579795134,0.011636095185259644,0.019180640779771815,0.005707613914065582,0.03399902241647738,0.018986162569073695
Cafe Malone,0.012460129059713866,0.015282681547080155,0.014239594480726453,0.020547828392740466,0.05297084854942002,0.011810242519821587,0.019341718620362193,0.005875918190834936,0.03390648058830666,0.018803291195828613
Chambers Fine Foods,0.012277712507526708,0.015502568311153646,0.013823278296396338,0.020108096998668844,0.05253869443159264,0.012238988771234503,0.019788501192138108,0.006122307853471049,0.033494039164072904,0.018441549984849887
Becco,0.02173973345034692,0.01864650465768608,0.022176495609275534,0.029049758992210697,0.060597822957044675,0.0026178854711679136,0.010458018951119667,0.005944965216520332,0.04093492571641712,0.029115539345663934
The Gourmet Gulp,0.0072929223911648786,0.01367085986398266,0.01413981519275381,0.01926107309495003,0.051627128979725476,0.016321432251753077,0.023210210196500027,0.01115799036510524,0.03336458564080774,0.013941565004664324
Cafe Q,0.0072929223911648786,0.01367085986398266,0.01413981519275381,0.01926107309495003,0.051627128979725476,0.016321432251753077,0.023210210196500027,0.01115799036510524,0.03336458564080774,0.013941565004664324
Lady Jade Tea House,0.0072929223911648786,0.01367085986398266,0.01413981519275381,0.01926107309495003,0.051627128979725476,0.016321432251753077,0.023210210196500027,0.01115799036510524,0.03336458564080774,0.013941565004664324
Borlotti Restaurant,0.0072929223911648786,0.01367085986398266,0.01413981519275381,0.01926107309495003,0.051627128979725476,0.016321432251753077,0.023210210196500027,0.01115799036510524,0.03336458564080774,0.013941565004664324
Lures Gourmet Sandwich Bar,0.007602569186991194,0.01410676723411806,0.013700042671083318,0.018874484085398765,0.05126394874417804,0.01633416368333904,0.023316754882598035,0.010959158593349269,0.03295680693495582,0.013935800913439727
Hermes Fine Foods,0.00694535120971827,0.012695811721389456,0.015114906534757857,0.02020402692609873,0.05254176944977999,0.016053730443614085,0.02274259110122518,0.011368565871359353,0.03432553092958855,0.014280279146453247
McDonalds,0.007890674605193326,0.012410933885545924,0.015439958350214226,0.020787234531783064,0.05320212790184816,0.014950966244613364,0.021662129327373776,0.010438665879913456,0.03482072257400304,0.015378058887661125
Menzies Tavern,0.007286006704442357,0.01282070758715883,0.014984914520470917,0.02016220081793476,0.0525320299615844,0.015779233367619428,0.022522207907566146,0.01102944984014238,0.03425461904163363,0.014527634388971757
Cafe Exchange,0.00676194694295558,0.013032521900640723,0.014796788316801314,0.019812534157683234,0.05213008685528922,0.016432069319803053,0.02316512439137934,0.011586540069189443,0.03395283999921538,0.013875349135269043
Cafe Cento Venti,0.019048246413429233,0.01566948936400786,0.02160930290031925,0.028334882220542784,0.06036220377213848,0.0033751882910933854,0.010973358544480517,0.005862363502882369,0.040869834721351,0.026890780653408945
Garden Plaza Cafe,0.019048246413429233,0.01566948936400786,0.02160930290031925,0.028334882220542784,0.06036220377213848,0.0033751882910933854,0.010973358544480517,0.005862363502882369,0.040869834721351,0.026890780653408945
Mediterranean Deli,0.02041072440468982,0.01654699748151132,0.022652523301822682,0.029431575595785422,0.06132944187274005,0.00200610702038475,0.009818470408949934,0.006615346103085506,0.041771747713851635,0.028274462712657798
Nauru House Cafe,0.02041072440468982,0.01654699748151132,0.022652523301822682,0.029431575595785422,0.06132944187274005,0.00200610702038475,0.009818470408949934,0.006615346103085506,0.041771747713851635,0.028274462712657798
Dr Martins Tavern,0.02014168232062951,0.016175911420721896,0.022681260086066087,0.029439247545139196,0.06139021340256806,0.002184458154936313,0.009827390808100097,0.006726393036875081,0.04185465136117337,0.028078425348446963
Janils Cafe,0.019492063765459814,0.015669228382437776,0.02228479611804405,0.02901187828263425,0.0610331497380997,0.0028195554347317554,0.010301699361037682,0.006486243491576448,0.04153316564499901,0.02745264474599804
Edoya Restaurant,0.01871146993310755,0.016311210837739957,0.020314603315003746,0.02707522162204337,0.059034052489068775,0.004313843855836932,0.012181275530567092,0.004476578488099253,0.03951790722700532,0.026191473955009596
Taco Bills Restaurant,0.01871146993310755,0.016311210837739957,0.020314603315003746,0.02707522162204337,0.059034052489068775,0.004313843855836932,0.012181275530567092,0.004476578488099253,0.03951790722700532,0.026191473955009596
Centro Citta Restaurant,0.019447818205491147,0.016714952615458363,0.02092371771691428,0.027711842137316797,0.059597572163274035,0.003598033574400172,0.011537148443053799,0.0049067933972910555,0.040046084691562144,0.02696340976631764
